Tissue	FPKM.m	SD.m	Enrichment.m	FPKM.f	SD.f	Enrichment.f	M.F	p.value	FPKM.mf	SD.mf	Enrichment.mf
index.html?fbgn=FBgn0051895&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051896&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051897&tableOut=gene:24:Carcass	0.35	0.13	-1	0.21	0.02	-1	1	n.s.	0.12	0.02	-1
index.html?fbgn=FBgn0051898&tableOut=gene:24:Carcass	0.49	0.16	-1	1.37	1.15	0.43	1	n.s.	0.83	0.39	-1
index.html?fbgn=FBgn0051901&tableOut=gene:25:Carcass	1.49	1.03	0.17	1.47	0.99	0.12	1	n.s.	0.07	0.06	0
index.html?fbgn=FBgn0051902&tableOut=gene:25:Carcass	0.88	0.26	0.23	0	0	-1	1	p > 0.05	0.03	0.05	-1
index.html?fbgn=FBgn0051907&tableOut=gene:25:Carcass	3.01	1.96	0.15	0.66	0.2	-1	1.5	n.s.	0.38	0.19	0.11
index.html?fbgn=FBgn0051908&tableOut=gene:24:Carcass	7.91	0.45	0.99	9.3	0.38	1.27	0.85	p > 0.05	6.61	0.71	0.74
index.html?fbgn=FBgn0051909&tableOut=gene:24:Carcass	4.21	2.51	0.11	0.05	0.08	-1	2.1	n.s.	0	0	0
index.html?fbgn=FBgn0051910&tableOut=gene:24:Carcass	1.78	1.73	0.08	0.18	0.07	-1	1	n.s.	0.67	0.18	-1
index.html?fbgn=FBgn0051912&tableOut=gene:24:Carcass	2.32	0.53	0.49	3.54	0.36	1.03	0.66	p > 0.05	1.9	0.29	0.66
index.html?fbgn=FBgn0051913&tableOut=gene:24:Carcass	1.29	0.91	0.06	0.23	0.16	-1	1	n.s.	0.15	0.12	-1
index.html?fbgn=FBgn0051914&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051915&tableOut=gene:24:Carcass	4.36	0.25	2.16	5.39	1.12	2.01	0.81	n.s.	2.36	0.4	0.42
index.html?fbgn=FBgn0051921&tableOut=gene:24:Carcass	1.32	0.94	0.09	0.07	0.05	-1	1	n.s.	0.06	0.03	-1
index.html?fbgn=FBgn0051922&tableOut=gene:24:Carcass	3.5	0.58	0.7	3.02	1.03	0.64	1.16	n.s.	6.02	0.79	1.41
index.html?fbgn=FBgn0051924&tableOut=gene:24:Carcass	0.95	0.5	0.1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051926&tableOut=gene:24:Carcass	0.02	0.03	-1	1	1.32	0.13	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051928&tableOut=gene:24:Carcass	0.06	0.05	-1	2.66	1.63	0.42	0.75	n.s.	0	0	-1
index.html?fbgn=FBgn0051933&tableOut=gene:24:Carcass	0.29	0.19	-1	0.01	0.01	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051935&tableOut=gene:25:Carcass	4.97	0.5	0.91	4.89	0.63	1.06	1.02	n.s.	1.91	0.07	0.39
index.html?fbgn=FBgn0051939&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051940&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051942&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051943&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051944&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051946&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051948&tableOut=gene:24:Carcass	8.48	7.11	0.1	0	0	-1	4.2	n.s.	0	0	0
index.html?fbgn=FBgn0051949&tableOut=gene:24:Carcass	2.9	2.71	0.07	0.04	0.08	-1	1.45	n.s.	0	0	0
index.html?fbgn=FBgn0051950&tableOut=gene:25:Carcass	3.59	0.47	0.34	3.79	1.23	0.57	0.95	n.s.	3.73	1.05	0.92
index.html?fbgn=FBgn0051952&tableOut=gene:24:Carcass	0.83	0.85	0.05	0.03	0.03	-1	1	n.s.	0.23	0	-1
index.html?fbgn=FBgn0051953&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051954&tableOut=gene:24:Carcass	0.07	0.07	-1	0.04	0.03	-1	1	n.s.	0.03	0.05	-1
index.html?fbgn=FBgn0051955&tableOut=gene:24:Carcass	9.97	2.91	1	8.22	1.92	2.82	1.21	n.s.	4.88	2.71	1.32
index.html?fbgn=FBgn0051956&tableOut=gene:25:Carcass	2.99	2.41	0.49	5.07	3.75	2.54	0.59	n.s.	0.16	0.21	-1
index.html?fbgn=FBgn0051957&tableOut=gene:24:Carcass	3.21	1.17	0.56	4.04	1	0.6	0.79	n.s.	3.27	0.48	0.79
index.html?fbgn=FBgn0051958&tableOut=gene:24:Carcass	0.17	0.19	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051960&tableOut=gene:24:Carcass	0.78	0.63	0.13	0	0	-1	1	n.s.	0.09	0.08	-1
index.html?fbgn=FBgn0051961&tableOut=gene:25:Carcass	4.13	0.39	0.95	4.79	0.07	0.8	0.86	n.s.	3.91	0.33	0.79
index.html?fbgn=FBgn0051963&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051971&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0051973&tableOut=gene:25:Carcass	2.61	0.36	0.78	2.77	0.67	1.39	0.94	n.s.	10.9	10.74	2.62
index.html?fbgn=FBgn0051974&tableOut=gene:24:Carcass	25.99	0.96	1.04	36.41	6.58	2.65	0.71	n.s.	0.76	0.12	0.07
index.html?fbgn=FBgn0051975&tableOut=gene:24:Carcass	0.59	0.02	-1	0.63	0.38	-1	1	n.s.	0.06	0.01	-1
index.html?fbgn=FBgn0051976&tableOut=gene:25:Carcass	0.05	0.09	-1	0.05	0.06	-1	1	n.s.	0.01	0.01	-1
index.html?fbgn=FBgn0051988&tableOut=gene:24:Carcass	16	12.33	0.09	0.05	0.09	-1	8	n.s.	0.05	0.09	0.01
index.html?fbgn=FBgn0051989&tableOut=gene:25:Carcass	1.15	0.1	-1	1.23	0.2	0.53	1	n.s.	1.09	0.09	-1
index.html?fbgn=FBgn0051992&tableOut=gene:25:Carcass	37.7	5.97	1.06	39.03	4.36	0.88	0.97	n.s.	45.29	1.85	1.63
index.html?fbgn=FBgn0051997&tableOut=gene:24:Carcass	84.3	6.41	0.79	56.81	9.54	2.1	1.48	p > 0.05	722.87	86.06	3.18
index.html?fbgn=FBgn0051998&tableOut=gene:24:Carcass	13.57	2.29	0.87	14.87	1.28	0.73	0.91	n.s.	22.69	0.64	1.72
index.html?fbgn=FBgn0051999&tableOut=gene:24:Carcass	10.82	2.7	1.07	8.25	2.04	1.96	1.31	n.s.	52.32	5.34	4.46
index.html?fbgn=FBgn0052000&tableOut=gene:25:Carcass	45.3	8.73	1.17	37.39	6.14	1.37	1.21	n.s.	86.21	9.41	1.82
index.html?fbgn=FBgn0052006&tableOut=gene:24:Carcass	0.69	0.09	-1	0.54	0.24	-1	1	n.s.	0.31	0.06	-1
index.html?fbgn=FBgn0052009&tableOut=gene:24:Carcass	0.01	0.02	-1	0.01	0.01	-1	1	n.s.	0.12	0.02	-1
index.html?fbgn=FBgn0052010&tableOut=gene:24:Carcass	0.02	0.02	-1	0.04	0.03	-1	1	n.s.	0.05	0.02	-1
index.html?fbgn=FBgn0052011&tableOut=gene:24:Carcass	0.01	0.01	-1	0.01	0.02	-1	1	n.s.	0.01	0.02	-1
index.html?fbgn=FBgn0052016&tableOut=gene:25:Carcass	14.85	0.97	1.03	15.06	1.28	0.83	0.99	n.s.	22.07	1.04	1.22
index.html?fbgn=FBgn0052017&tableOut=gene:24:Carcass	8.55	2.5	0.64	5.67	1.94	1.96	1.51	n.s.	14.58	7.48	6.72
index.html?fbgn=FBgn0052022&tableOut=gene:24:Carcass	6.33	0.4	0.5	5.95	0.18	0.62	1.06	n.s.	6.04	1.19	1.01
index.html?fbgn=FBgn0052023&tableOut=gene:24:Carcass	6.78	4.84	0.22	5.74	1.04	0.6	1.18	n.s.	0.12	0.11	-1
index.html?fbgn=FBgn0052024&tableOut=gene:24:Carcass	5.07	3.99	0.36	4.72	0.81	0.89	1.07	n.s.	0.12	0.2	-1
index.html?fbgn=FBgn0052026&tableOut=gene:24:Carcass	1.52	0.69	0.09	0.38	0.14	-1	1	n.s.	0.62	0.25	-1
index.html?fbgn=FBgn0052027&tableOut=gene:24:Carcass	0.6	0.01	-1	1.94	0.83	0.46	1	n.s.	1.22	0.25	-1
index.html?fbgn=FBgn0052029&tableOut=gene:25:Carcass	3.72	0.81	1.86	3.95	2.31	1.98	0.94	n.s.	0.74	0.09	-1
index.html?fbgn=FBgn0052034&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052036&tableOut=gene:24:Carcass	0.03	0.05	-1	0.05	0.04	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052037&tableOut=gene:24:Carcass	0.59	0.06	-1	0.32	0.24	-1	1	n.s.	0.49	0.4	-1
index.html?fbgn=FBgn0052039&tableOut=gene:25:Carcass	11.33	1.89	0.86	9.37	0.94	0.77	1.21	n.s.	5.85	1.09	0.32
index.html?fbgn=FBgn0052040&tableOut=gene:24:Carcass	7.1	3.15	1.85	5.73	0.94	2.87	1.24	n.s.	0.57	0.28	-1
index.html?fbgn=FBgn0052053&tableOut=gene:24:Carcass	0.19	0.08	-1	0.07	0.06	-1	1	n.s.	0	0	0
index.html?fbgn=FBgn0052054&tableOut=gene:24:Carcass	0.79	0.58	0.18	0.57	0.3	0.26	1	n.s.	0	0	0
index.html?fbgn=FBgn0052055&tableOut=gene:24:Carcass	0.21	0.1	-1	0.09	0.04	-1	1	n.s.	0.32	0.23	-1
index.html?fbgn=FBgn0052056&tableOut=gene:25:Carcass	6.82	0.36	0.63	7.08	0.59	0.69	0.96	n.s.	9.47	0.76	0.87
index.html?fbgn=FBgn0052057&tableOut=gene:25:Carcass	0.72	0.29	-1	0.41	0.07	-1	1	n.s.	0.5	0.1	-1
index.html?fbgn=FBgn0052058&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052061&tableOut=gene:24:Carcass	1.75	1.73	0.07	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052062&tableOut=gene:25:Carcass	10.63	1.17	0.95	10.62	1.6	2.59	1	n.s.	8.32	0.38	1.83
index.html?fbgn=FBgn0052064&tableOut=gene:25:Carcass	17.03	10.57	0.09	0.15	0.17	-1	8.5	n.s.	0.11	0.09	0.02
index.html?fbgn=FBgn0052066&tableOut=gene:24:Carcass	5.73	0.07	0.74	6.38	0.55	0.62	0.9	n.s.	4.63	0.37	0.61
index.html?fbgn=FBgn0052068&tableOut=gene:25:Carcass	142.73	29.77	1.53	116.78	21.53	2.24	1.22	n.s.	46.6	1.06	0.65
index.html?fbgn=FBgn0052069&tableOut=gene:24:Carcass	27.77	1.18	0.75	20.09	0.95	0.53	1.38	p > 0.01	27.6	1.68	1.19
index.html?fbgn=FBgn0052071&tableOut=gene:24:Carcass	0.14	0.15	-1	0.06	0.1	-1	1	n.s.	16.92	15.77	1.11
index.html?fbgn=FBgn0052072&tableOut=gene:25:Carcass	48.09	13.58	1.61	0.41	0.22	-1	24	p > 0.05	0.25	0.09	-1
index.html?fbgn=FBgn0052073&tableOut=gene:24:Carcass	0.48	0.43	0.09	0	0	-1	1	n.s.	44.77	46.64	1.95
index.html?fbgn=FBgn0052074&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0.09	0.16	-1
index.html?fbgn=FBgn0052075&tableOut=gene:24:Carcass	2.65	0.31	1.15	4.55	0.77	0.84	0.58	p > 0.05	4.27	0.34	1.08
index.html?fbgn=FBgn0052076&tableOut=gene:25:Carcass	5.88	0.25	0.86	5.53	0.57	0.72	1.06	n.s.	7.96	0.31	1.06
index.html?fbgn=FBgn0052079&tableOut=gene:24:Carcass	0.11	0.1	-1	0.02	0.04	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052081&tableOut=gene:24:Carcass	4.92	2.56	0.08	0.02	0.03	-1	2.5	n.s.	0	0	0
index.html?fbgn=FBgn0052082&tableOut=gene:25:Carcass	6.1	0.65	0.93	5.98	1.21	2.99	1.02	n.s.	5.84	0.34	2.78
index.html?fbgn=FBgn0052085&tableOut=gene:24:Carcass	1.83	0.45	0.38	1.08	0.64	-1	1	n.s.	0.53	0.07	-1
index.html?fbgn=FBgn0052086&tableOut=gene:24:Carcass	0.86	0.58	0.11	0	0	-1	1	n.s.	0.04	0.03	-1
index.html?fbgn=FBgn0052087&tableOut=gene:24:Carcass	0.85	0.28	0.13	0.02	0.03	-1	1	p > 0.05	0	0	-1
index.html?fbgn=FBgn0052088&tableOut=gene:25:Carcass	0.02	0.03	-1	0.05	0.03	-1	1	n.s.	0.01	0.02	-1
index.html?fbgn=FBgn0052091&tableOut=gene:24:Carcass	6.34	1.43	1.29	8.44	1.69	2.11	0.75	n.s.	6.58	1.46	1.68
index.html?fbgn=FBgn0052093&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052095&tableOut=gene:24:Carcass	2.19	0.3	1.09	2.84	0.54	0.68	0.77	n.s.	1.62	0.58	-1
index.html?fbgn=FBgn0052099&tableOut=gene:24:Carcass	4.92	0.92	0.91	4.48	0.2	1.15	1.1	n.s.	4.42	1.37	0.83
index.html?fbgn=FBgn0052100&tableOut=gene:24:Carcass	1.55	0.34	0.61	1.67	0.16	0.55	1	n.s.	1.96	0.66	0.67
index.html?fbgn=FBgn0052102&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052103&tableOut=gene:25:Carcass	48.17	15.74	2.01	50.96	15.39	2.92	0.95	n.s.	17.4	3.21	0.96
index.html?fbgn=FBgn0052104&tableOut=gene:24:Carcass	1.35	0.32	-1	1.63	0.05	0.68	1	n.s.	2.24	0.19	1.12
index.html?fbgn=FBgn0052105&tableOut=gene:25:Carcass	0.11	0.02	-1	0.1	0.08	-1	1	n.s.	0.07	0.02	-1
index.html?fbgn=FBgn0052106&tableOut=gene:24:Carcass	0.61	0.26	0.11	0.01	0.01	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052107&tableOut=gene:24:Carcass	0.45	0.18	-1	0.28	0.22	-1	1	n.s.	0.03	0.03	0.01
index.html?fbgn=FBgn0052109&tableOut=gene:24:Carcass	8.3	1.13	1.71	6.51	1.1	1.21	1.27	n.s.	10.95	0.54	0.65
index.html?fbgn=FBgn0052110&tableOut=gene:24:Carcass	0.99	0.28	0.45	0.42	0.14	-1	1	n.s.	0.37	0.16	-1
index.html?fbgn=FBgn0052111&tableOut=gene:24:Carcass	0.11	0.06	-1	0.1	0.07	-1	1	n.s.	0.32	0.1	-1
index.html?fbgn=FBgn0052112&tableOut=gene:24:Carcass	8.39	0.79	0.77	6.94	1.24	1.74	1.21	n.s.	4.98	0.46	2.08
index.html?fbgn=FBgn0052113&tableOut=gene:25:Carcass	5.02	0.83	1.1	4.74	0.66	1.45	1.06	n.s.	2.79	0.29	1.16
index.html?fbgn=FBgn0052115&tableOut=gene:24:Carcass	6.79	0.51	2.51	4.54	0.65	2.27	1.5	p > 0.05	0.3	0.27	0.02
index.html?fbgn=FBgn0052117&tableOut=gene:24:Carcass	1.01	1.09	0.07	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052119&tableOut=gene:24:Carcass	2.38	1.49	0.1	0.2	0.1	-1	1.19	n.s.	0.17	0.06	-1
index.html?fbgn=FBgn0052121&tableOut=gene:24:Carcass	2.57	0.18	0.79	2.82	0.57	1.41	0.91	n.s.	0.27	0.13	-1
index.html?fbgn=FBgn0052123&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052126&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052127&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052128&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052129&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052133&tableOut=gene:25:Carcass	0.7	0.06	-1	0.88	0.1	0.23	1	n.s.	0.75	0.17	-1
index.html?fbgn=FBgn0052137&tableOut=gene:24:Carcass	4.26	0.3	0.48	3.22	0.32	0.91	1.32	p > 0.05	8.27	1.11	0.99
index.html?fbgn=FBgn0052141&tableOut=gene:25:Carcass	4.04	2.01	0.14	0.52	0.04	-1	2	n.s.	0.69	0.35	0.22
index.html?fbgn=FBgn0052150&tableOut=gene:25:Carcass	0.35	0.12	-1	0.3	0.05	-1	1	n.s.	0.43	0.06	-1
index.html?fbgn=FBgn0052152&tableOut=gene:24:Carcass	0.71	0.59	0.33	1.46	0.46	0.68	1	n.s.	0.94	0.43	-1
index.html?fbgn=FBgn0052153&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052160&tableOut=gene:24:Carcass	0.02	0.03	-1	0.02	0.02	-1	1	n.s.	0.02	0.03	-1
index.html?fbgn=FBgn0052161&tableOut=gene:24:Carcass	2.76	0.69	0.08	0.76	0.4	-1	1.38	p > 0.05	0.64	0.23	-1
index.html?fbgn=FBgn0052163&tableOut=gene:24:Carcass	11.77	3.07	0.73	8.2	1.04	1.71	1.44	n.s.	5.82	1.03	0.86
index.html?fbgn=FBgn0052170&tableOut=gene:24:Carcass	2.16	0.24	0.75	2.3	0.88	1.15	0.94	n.s.	2.76	0.47	1.38
index.html?fbgn=FBgn0052173&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052174&tableOut=gene:25:Carcass	7.19	1.67	1.5	6.58	0.17	1.21	1.09	n.s.	6.41	0.75	1.37
index.html?fbgn=FBgn0052176&tableOut=gene:24:Carcass	2.82	0.14	1.11	3.22	0.3	0.73	0.88	n.s.	2.4	0.22	0.94
index.html?fbgn=FBgn0052177&tableOut=gene:25:Carcass	16.25	0.69	0.96	13.72	0.77	1.18	1.18	p > 0.05	6.93	0.23	0.61
index.html?fbgn=FBgn0052179&tableOut=gene:25:Carcass	4.01	0.31	1.03	4.1	0.32	1.12	0.98	n.s.	3.13	0.22	0.62
index.html?fbgn=FBgn0052181&tableOut=gene:24:Carcass	1.73	1.14	0.1	0.08	0.07	-1	1	n.s.	0.05	0.04	-1
index.html?fbgn=FBgn0052182&tableOut=gene:24:Carcass	0.16	0.12	-1	0.17	0.07	-1	1	n.s.	0.16	0.16	-1
index.html?fbgn=FBgn0052183&tableOut=gene:25:Carcass	0.92	0.24	-1	0.55	0.21	-1	1	n.s.	0.14	0.01	-1
index.html?fbgn=FBgn0052185&tableOut=gene:25:Carcass	0.78	0.29	-1	3.26	2.97	1.63	0.61	n.s.	0.54	0.33	-1
index.html?fbgn=FBgn0052187&tableOut=gene:24:Carcass	0.55	0.11	-1	0.94	0.2	-1	1	n.s.	0.38	0.08	-1
index.html?fbgn=FBgn0052188&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0.29	0.5	-1
index.html?fbgn=FBgn0052189&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052190&tableOut=gene:25:Carcass	31.68	4.5	1.59	36.8	8.5	3.15	0.86	n.s.	16.09	1.23	0.6
index.html?fbgn=FBgn0052191&tableOut=gene:24:Carcass	21.89	1.99	2.62	24.32	8.78	6.64	0.9	n.s.	7.78	1.82	1.19
index.html?fbgn=FBgn0052192&tableOut=gene:24:Carcass	15.83	12.73	0.14	0.31	0.2	-1	7.9	n.s.	1.13	0.14	0.09
index.html?fbgn=FBgn0052194&tableOut=gene:24:Carcass	1.36	0.3	-1	2.09	0.89	1.04	0.96	n.s.	0.1	0.11	-1
index.html?fbgn=FBgn0052195&tableOut=gene:24:Carcass	7.09	0.62	0.92	5.86	1.54	1.65	1.21	n.s.	1.05	0.32	0.15
index.html?fbgn=FBgn0052196&tableOut=gene:24:Carcass	6.7	1.48	0.89	5.69	0.92	1.88	1.18	n.s.	13.69	2.5	1.48
index.html?fbgn=FBgn0052198&tableOut=gene:24:Carcass	5.24	1.81	1.85	10.34	7.33	5.17	0.51	n.s.	154.97	149.13	0.52
index.html?fbgn=FBgn0052199&tableOut=gene:24:Carcass	2.49	1.61	0.28	0.04	0.05	-1	1.25	n.s.	0	0	-1
index.html?fbgn=FBgn0052200&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052201&tableOut=gene:24:Carcass	1.39	0.81	0.22	0.07	0.07	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052202&tableOut=gene:24:Carcass	3.71	0.66	0.72	3.48	0.71	0.31	1.07	n.s.	2.97	1.06	0.72
index.html?fbgn=FBgn0052203&tableOut=gene:25:Carcass	8.2	3.21	0.22	0.04	0.06	-1	4.1	p > 0.05	0.03	0.05	-1
index.html?fbgn=FBgn0052204&tableOut=gene:24:Carcass	0.28	0.2	-1	0.2	0.07	-1	1	n.s.	0.35	0.11	-1
index.html?fbgn=FBgn0052205&tableOut=gene:24:Carcass	0.28	0.3	0.13	0.6	0.28	0.14	1	n.s.	0.31	0.2	-1
index.html?fbgn=FBgn0052206&tableOut=gene:24:Carcass	0.65	0.3	0.31	0.34	0.23	-1	1	n.s.	0.16	0.02	-1
index.html?fbgn=FBgn0052207&tableOut=gene:24:Carcass	1.88	1.09	0.34	4.26	1.84	0.42	0.47	n.s.	2.09	0.88	0.4
index.html?fbgn=FBgn0052208&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052212&tableOut=gene:24:Carcass	4.75	0.71	1.87	6.93	1.37	1.65	0.69	n.s.	8.73	5.62	1.08
index.html?fbgn=FBgn0052213&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052214&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0.18	0.32	-1
index.html?fbgn=FBgn0052218&tableOut=gene:24:Carcass	5.64	1.38	1.07	3.92	0.45	1.18	1.44	n.s.	4.49	0.28	1.43
index.html?fbgn=FBgn0052219&tableOut=gene:24:Carcass	0.93	0.31	0.14	0.3	0.18	-1	1	p > 0.05	0.8	0.41	-1
index.html?fbgn=FBgn0052220&tableOut=gene:25:Carcass	9.56	1.71	1.37	4.07	1.34	2.04	2.3	p > 0.05	0.66	0.5	-1
index.html?fbgn=FBgn0052221&tableOut=gene:24:Carcass	6.95	0.22	1.12	6.18	0.43	1.32	1.12	n.s.	3.48	0.44	0.74
index.html?fbgn=FBgn0052224&tableOut=gene:24:Carcass	0.08	0.13	-1	0	0	-1	1	n.s.	0	0	0
index.html?fbgn=FBgn0052225&tableOut=gene:24:Carcass	4.08	1.19	0.8	2.96	0.87	1.48	1.38	n.s.	0.62	0.17	-1
index.html?fbgn=FBgn0052226&tableOut=gene:25:Carcass	0.9	0.33	-1	1.06	0.09	0.42	1	n.s.	0.65	0.12	-1
index.html?fbgn=FBgn0052227&tableOut=gene:25:Carcass	0.29	0.07	-1	0.2	0.14	-1	1	n.s.	0.34	0.1	-1
index.html?fbgn=FBgn0052228&tableOut=gene:24:Carcass	0.23	0.16	-1	0	0.01	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052230&tableOut=gene:25:Carcass	2882.49	701.36	1.22	1666.8	221.74	1.54	1.73	n.s.	1175.89	101.82	2.32
index.html?fbgn=FBgn0052232&tableOut=gene:24:Carcass	0.21	0.2	-1	0.02	0.02	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052237&tableOut=gene:24:Carcass	0.02	0.01	-1	0.05	0.05	-1	1	n.s.	0.14	0.06	-1
index.html?fbgn=FBgn0052238&tableOut=gene:25:Carcass	1.33	0.81	0.13	0.03	0.04	-1	1	n.s.	0.03	0.03	-1
index.html?fbgn=FBgn0052240&tableOut=gene:24:Carcass	4.22	2.78	0.09	0	0	-1	2.1	n.s.	0	0	-1
index.html?fbgn=FBgn0052241&tableOut=gene:24:Carcass	0	0	-1	0.01	0.02	-1	1	n.s.	68.48	11.78	8.89
index.html?fbgn=FBgn0052243&tableOut=gene:24:Carcass	7.48	0.9	1.27	7.03	1.2	0.56	1.06	n.s.	12.99	1.41	0.72
index.html?fbgn=FBgn0052246&tableOut=gene:24:Carcass	0.54	0.05	-1	0.41	0.3	-1	1	n.s.	0.24	0.16	-1
index.html?fbgn=FBgn0052248&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	14.33	1.41	7.17
index.html?fbgn=FBgn0052249&tableOut=gene:24:Carcass	0	0	-1	0.1	0.17	-1	1	n.s.	1208.69	154.29	3.79
index.html?fbgn=FBgn0052250&tableOut=gene:25:Carcass	20.38	0.94	1.17	12.82	1.47	1.19	1.59	p > 0.01	3.63	0.35	0.35
index.html?fbgn=FBgn0052251&tableOut=gene:25:Carcass	0.23	0.09	-1	1.04	0.8	0.17	1	n.s.	1.67	0.27	-1
index.html?fbgn=FBgn0052252&tableOut=gene:24:Carcass	1.26	0.28	0.41	1.01	0.29	-1	1	n.s.	0.44	0.05	-1
index.html?fbgn=FBgn0052255&tableOut=gene:25:Carcass	0.03	0.05	-1	0.03	0.03	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052259&tableOut=gene:24:Carcass	2.64	2.02	0.26	1.22	0.44	-1	1.32	n.s.	0.54	0.5	0.12
index.html?fbgn=FBgn0052260&tableOut=gene:24:Carcass	0	0	-1	0.03	0.03	-1	1	n.s.	0.03	0.03	-1
index.html?fbgn=FBgn0052262&tableOut=gene:24:Carcass	7.28	1.57	0.26	5.19	0.38	0.92	1.4	n.s.	2.24	0.26	0.78
index.html?fbgn=FBgn0052263&tableOut=gene:24:Carcass	0.38	0.35	0.08	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0052264&tableOut=gene:24:Carcass	12.68	1.24	0.7	12.17	1.91	1.38	1.04	n.s.	9.33	0.49	1.35
index.html?fbgn=FBgn0052266&tableOut=gene:24:Carcass	0.08	0.08	-1	0.29	0.22	-1	1	n.s.	8	1.13	4
index.html?fbgn=FBgn0052267&tableOut=gene:24:Carcass	58.85	11.88	0.61	61.8	4.76	0.64	0.95	n.s.	98.14	13.46	1.73
index.html?fbgn=FBgn0052268&tableOut=gene:25:Carcass	0	0	-1	0.06	0.1	-1	1	n.s.	0.12	0.11	-1
index.html?fbgn=FBgn0052269&tableOut=gene:24:Carcass	0.09	0.12	-1	0.02	0.02	-1	1	n.s.	0.1	0.09	-1
index.html?fbgn=FBgn0052270&tableOut=gene:24:Carcass	0.13	0.16	-1	0.12	0.04	-1	1	n.s.	0.12	0.03	-1
